,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
42,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
43,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
44,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
45,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
46,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
47,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
48,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
49,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
50,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
51,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
52,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
53,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
54,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
55,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
56,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
57,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
58,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
59,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
60,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
61,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
62,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
63,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
64,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
65,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
66,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
67,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
68,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
69,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
70,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
71,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
72,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
73,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
74,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
75,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
76,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
77,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
78,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
79,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
80,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
81,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
82,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
83,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
84,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
85,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
86,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
87,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
88,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
89,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
90,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
91,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
92,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
93,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
94,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
95,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
96,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
97,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
98,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
99,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
100,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
101,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
102,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
103,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
104,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
105,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
106,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
107,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
108,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
109,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
110,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
111,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
112,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
113,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
114,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
115,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
116,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
117,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
118,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
119,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
120,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
121,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
122,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
123,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
124,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
125,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
126,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
127,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
128,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
129,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
130,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
131,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
132,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
133,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
134,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
135,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
136,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
137,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
138,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
139,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
140,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
141,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
142,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
143,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
144,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
145,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
146,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
147,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
148,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
149,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
150,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
151,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
152,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
153,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
154,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
155,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
156,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
157,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
158,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
159,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
160,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
161,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
162,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
163,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
164,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
165,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
166,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
167,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
168,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
169,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
170,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
171,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
172,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
173,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
174,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
175,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
176,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
177,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
178,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
179,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
180,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
181,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
182,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
183,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
184,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
185,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
186,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
187,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
188,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
189,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
190,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
191,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
192,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
193,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
194,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
195,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
196,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
197,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
198,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
199,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
200,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
201,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
202,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
203,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
204,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
205,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
206,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
207,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
208,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
209,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
210,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
211,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
212,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
213,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
214,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
215,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
216,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
217,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
218,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
219,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
220,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
221,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
222,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
223,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
224,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
225,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
226,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
227,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
228,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
229,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
230,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
231,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
232,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
233,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
234,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
235,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
236,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
237,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
238,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
239,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
240,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
241,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
242,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
243,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
244,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
245,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
246,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
247,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
248,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
249,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
250,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
251,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
252,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
253,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
254,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
255,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
256,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
257,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
258,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
259,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
260,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
261,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
262,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
263,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
264,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
265,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
266,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
267,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
268,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
269,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
270,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
271,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
272,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
273,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
274,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
275,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
276,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
277,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
278,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
279,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
280,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
281,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
282,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
283,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
284,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
285,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
286,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
287,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
288,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
289,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
290,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
291,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
292,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
293,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
294,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
295,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
296,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
297,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
298,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
299,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
300,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
301,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
302,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
303,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
304,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
305,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
306,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
307,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
308,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
309,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
310,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
311,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
312,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
313,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
314,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
315,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
316,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
317,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
318,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
319,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
320,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
321,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
322,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
323,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
324,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
325,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
326,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
327,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
328,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
329,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
330,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
331,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
332,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
333,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
334,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
335,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
336,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
337,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
338,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
339,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
340,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
341,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
342,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
343,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
344,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
345,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
346,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
347,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
348,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
349,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
350,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
351,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
352,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
353,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
354,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
355,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
356,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
357,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
358,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
359,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
360,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
361,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
362,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
363,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
364,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
365,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
366,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
367,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
368,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
369,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
370,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
371,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
372,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
373,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.0,0.25
